Panel Name,Panel ID,Version Number,Gene Name,Gene Status,Date Recorded,MOI
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,EPG5,Green,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,LAMP2,Green,2017-07-10 15:43:21,xlinked_monoallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,LYST,Green,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,MLPH,Green,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,MYO5A,Green,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,RAB27A,Green,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,AP1S1,Amber,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,AP3B1,Amber,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,CTDP1,Amber,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,SIL1,Red,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,SNAP29,Red,2017-07-10 15:43:21,biallelic
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,0.42,VPS13B,Red,2017-07-10 15:43:21,biallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,AIP,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDC73,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,CDKN1B,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MAX,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,MEN1,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PRKAR1A,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,RET,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHAF2,Green,2017-07-10 15:43:21,monoallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHB,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHC,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,SDHD,Green,2017-07-10 15:43:21,monoallelic_maternally_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TMEM127,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,TP53,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,VHL,Green,2017-07-10 15:43:21,monoallelic_not_imprinted
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,NTRK1,Red,2017-07-10 15:43:21,monoallelic
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.4,PTEN,Red,2017-07-10 15:43:21,monoallelic_not_imprinted
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ACTA1,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,BIN1,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CACNA1S,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CFL2,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL12A1,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A1,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A2,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL6A3,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DNM2,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,EPG5,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FKBP14,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KBTBD13,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KLHL40,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KLHL41,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LMNA,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LMOD3,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MAP3K20*,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MEGF10,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MICU1,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MTM1,Green,2017-07-10 15:43:21,xlinked_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH2,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH3,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH7,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH8,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYO18B,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,NEB,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ORAI1,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,RYR1,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SCN4A,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SEPN1,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SLC25A4,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SPEG,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STAC3,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STIM1,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNT1,Green,2017-07-10 15:43:21,biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TPM2,Green,2017-07-10 15:43:21,monoallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TPM3,Green,2017-07-10 15:43:21,monoallelic_and_biallelic
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TTN,Green,2017-07-10 15:43:21,biallelic
